what,kind,bundleId,bundleVersion,description,time
started,bundle,com.aptana.ide.syncing.core,2.0.5.1278614541,"com.aptana.ide.syncing.core",1371676705186
started,bundle,com.aptana.ide.syncing.ui,2.0.5.1278614541,"com.aptana.ide.syncing.ui",1371676705187
started,bundle,com.aptana.ide.update,2.0.5.1278523018,"com.aptana.ide.update",1371676705189
started,bundle,com.aptana.ide.update.eclipse34,2.0.5.1278614541,"com.aptana.ide.update.eclipse34",1371676705190
started,bundle,com.aptana.ide.update.eclipse35,2.0.5.1278614541,"com.aptana.ide.update.eclipse35",1371676705190
started,bundle,com.aptana.ide.update.eclipse36,1.0.0.1278614541,"com.aptana.ide.update.eclipse36",1371676705191
started,bundle,com.aptana.ide.update.ui,2.0.0.1278614541,"com.aptana.ide.update.ui",1371676705193
started,bundle,org.eclipse.eclipsemonkey,2.0.5.1278445773,"org.eclipse.eclipsemonkey",1371676705194
started,bundle,org.eclipse.eclipsemonkey.lang.javascript,2.0.0.1277749615,"org.eclipse.eclipsemonkey.lang.javascript",1371676705196
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1371676705197
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1371676705199
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1371676705200
started,bundle,org.eclipse.mylyn.github.ui,1.3.0.201202151440-r,"org.eclipse.mylyn.github.ui",1371676705202
os,sysinfo,,,"win32",1371676705209
arch,sysinfo,,,"x86_64",1371676705209
ws,sysinfo,,,"win32",1371676705209
locale,sysinfo,,,"de_DE",1371676705209
processors,sysinfo,,,"4",1371676705209
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1371676705209
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1371676705209
java.specification.name,sysinfo,,,"Java Platform API Specification",1371676705209
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1371676705209
java.specification.version,sysinfo,,,"1.6",1371676705209
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1371676705209
java.version,sysinfo,,,"1.6.0_25",1371676705209
java.vm.info,sysinfo,,,"mixed mode",1371676705209
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1371676705209
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1371676705209
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1371676705209
java.vm.specification.version,sysinfo,,,"1.0",1371676705209
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1371676705209
java.vm.version,sysinfo,,,"20.0-b11",1371676705209
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1371676705461
started,bundle,org.eclipse.eclipsemonkey.doms,2.0.0.1277749615,"org.eclipse.eclipsemonkey.doms",1371676705724
started,bundle,com.aptana.ide.server,2.0.0.1278523018,"com.aptana.ide.server",1371676706068
started,bundle,com.aptana.ide.documentation,2.0.0.1278523018,"com.aptana.ide.documentation",1371676706316
started,bundle,com.aptana.ide.samples.ui,2.0.0.1278614541,"com.aptana.ide.samples.ui",1371676706323
started,bundle,com.aptana.ide.update.portal,2.0.0.1278614541,"com.aptana.ide.update.portal",1371676706340
opened,editor,com.aptana.ide.server.portal,2.0.0.1278523018,"com.aptana.ide.server.portal.ui.MyAptanaEditor",1371676706354
started,bundle,org.eclipse.gmf.runtime.diagram.ui.resources.editor,1.4.1.v20101119-2230,"org.eclipse.gmf.runtime.diagram.ui.resources.editor",1371676706400
started,bundle,org.eclipse.papyrus.core.adaptor.gmf,0.8.2.v201202150957,"org.eclipse.papyrus.core.adaptor.gmf",1371676706402
started,bundle,org.eclipse.papyrus.layouttool,0.8.2.v201202150957,"org.eclipse.papyrus.layouttool",1371676706407
started,bundle,org.eclipse.papyrus.layouttool.subeditor.gmf,0.8.2.v201202150957,"org.eclipse.papyrus.layouttool.subeditor.gmf",1371676706416
started,bundle,com.aptana.ide.server.core,2.0.0.1278523018,"com.aptana.ide.server.core",1371676706643
started,bundle,org.eclipse.gmf.runtime.notation,1.5.0.v20110309-2159,"org.eclipse.gmf.runtime.notation",1371676717310
started,bundle,org.eclipse.papyrus.editor,0.8.2.v201202150957,"org.eclipse.papyrus.editor",1371676717361
started,bundle,org.eclipse.gmf.runtime.diagram.ui.actions,1.4.1.v20101221-2230,"org.eclipse.gmf.runtime.diagram.ui.actions",1371676717442
started,bundle,org.eclipse.gmf.runtime.emf.type.core,1.4.0.v20100423-2359,"org.eclipse.gmf.runtime.emf.type.core",1371676717451
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1371676717832
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1371676717837
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1371676718196
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1371676718227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371676722565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371676724379
opened,view,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.RepositoriesView",1371676725033
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1371676725220
activated,perspective,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.GitRepositoryExploring",1371676726363
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1371676726439
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1371676726472
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1371676726475
